Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Salivary_Gland	1674	14	0.0574534522991765	1	ENSG00000105499:ENSG00000081189:ENSG00000142185:ENSG00000184185:ENSG00000153956:ENSG00000007402:ENSG00000157445:ENSG00000131791:ENSG00000058404:ENSG00000175206:ENSG00000159899:ENSG00000078295:ENSG00000138031:ENSG00000087258
DEG.down	Skin	1792	13	0.151006762051504	1	ENSG00000105499:ENSG00000081189:ENSG00000196218:ENSG00000142185:ENSG00000137841:ENSG00000007402:ENSG00000157445:ENSG00000105605:ENSG00000164867:ENSG00000152402:ENSG00000077157:ENSG00000087258:ENSG00000141506
DEG.down	Small_Intestine	1259	6	0.663922098950234	1	ENSG00000123700:ENSG00000153956:ENSG00000007402:ENSG00000157445:ENSG00000196465:ENSG00000078295
DEG.down	Spleen	1936	12	0.326949861344223	1	ENSG00000167535:ENSG00000153956:ENSG00000007402:ENSG00000157445:ENSG00000100968:ENSG00000159200:ENSG00000159899:ENSG00000196465:ENSG00000174233:ENSG00000162104:ENSG00000087258:ENSG00000146648
DEG.down	Stomach	2301	21	0.00827715288344772	0.248314586503432	ENSG00000105499:ENSG00000081189:ENSG00000126767:ENSG00000004468:ENSG00000142185:ENSG00000123700:ENSG00000184185:ENSG00000137841:ENSG00000167535:ENSG00000153956:ENSG00000157445:ENSG00000075461:ENSG00000131196:ENSG00000072736:ENSG00000058404:ENSG00000175206:ENSG00000196465:ENSG00000078295:ENSG00000138031:ENSG00000121281:ENSG00000141506
DEG.down	Testis	2631	24	0.00458822382334656	0.137646714700397	ENSG00000188089:ENSG00000105499:ENSG00000170345:ENSG00000081189:ENSG00000184185:ENSG00000168135:ENSG00000137841:ENSG00000103319:ENSG00000153956:ENSG00000178363:ENSG00000178372:ENSG00000101096:ENSG00000159200:ENSG00000131791:ENSG00000058404:ENSG00000101306:ENSG00000077157:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000121281:ENSG00000162104:ENSG00000162728:ENSG00000146648
DEG.down	Thyroid	980	6	0.418356372745312	1	ENSG00000196218:ENSG00000142185:ENSG00000123700:ENSG00000157445:ENSG00000178372:ENSG00000087258
DEG.down	Uterus	791	9	0.0242455409417252	0.727366228251756	ENSG00000142185:ENSG00000123700:ENSG00000184185:ENSG00000157445:ENSG00000075461:ENSG00000178372:ENSG00000121281:ENSG00000087258:ENSG00000141506
DEG.down	Vagina	600	7	0.0400349294596241	1	ENSG00000105499:ENSG00000196218:ENSG00000004468:ENSG00000142185:ENSG00000184185:ENSG00000007402:ENSG00000087258
DEG.twoside	Adipose_Tissue	2941	19	0.205401530694277	1	ENSG00000101405:ENSG00000196218:ENSG00000198838:ENSG00000184185:ENSG00000103319:ENSG00000007402:ENSG00000157445:ENSG00000151062:ENSG00000178372:ENSG00000101096:ENSG00000164867:ENSG00000152402:ENSG00000164742:ENSG00000078295:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000087258:ENSG00000146648
DEG.twoside	Adrenal_Gland	4221	22	0.573898950293834	1	ENSG00000116711:ENSG00000243708:ENSG00000105499:ENSG00000103319:ENSG00000167535:ENSG00000157445:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000159200:ENSG00000058404:ENSG00000175206:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000129467:ENSG00000121281:ENSG00000162104:ENSG00000087258:ENSG00000120457
DEG.twoside	Bladder	833	11	0.00453135484947001	0.1359406454841	ENSG00000116711:ENSG00000182621:ENSG00000103319:ENSG00000007402:ENSG00000157445:ENSG00000100968:ENSG00000131791:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000164742
DEG.twoside	Blood	7082	27	0.99069368156544	1	ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000177606:ENSG00000004468:ENSG00000142185:ENSG00000123700:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000007402:ENSG00000096433:ENSG00000100968:ENSG00000159200:ENSG00000131791:ENSG00000175206:ENSG00000159899:ENSG00000196465:ENSG00000077157:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000121281:ENSG00000162104:ENSG00000105851:ENSG00000141506
DEG.twoside	Blood_Vessel	3640	27	0.0363505159632963	1	ENSG00000166484:ENSG00000081189:ENSG00000196218:ENSG00000142185:ENSG00000184185:ENSG00000182621:ENSG00000149782:ENSG00000103319:ENSG00000153956:ENSG00000007402:ENSG00000157445:ENSG00000096433:ENSG00000178372:ENSG00000131196:ENSG00000100968:ENSG00000131791:ENSG00000058404:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000174233:ENSG00000162104:ENSG00000087258:ENSG00000162989:ENSG00000120457
DEG.twoside	Brain	7360	55	0.000687189612787147	0.0206156883836144	ENSG00000101405:ENSG00000180914:ENSG00000116711:ENSG00000105499:ENSG00000166484:ENSG00000126767:ENSG00000196218:ENSG00000198838:ENSG00000142185:ENSG00000184185:ENSG00000168135:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000126583:ENSG00000103319:ENSG00000167535:ENSG00000007402:ENSG00000157445:ENSG00000166862:ENSG00000006116:ENSG00000075461:ENSG00000105605:ENSG00000142408:ENSG00000096433:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000111725:ENSG00000131791:ENSG00000058404:ENSG00000164867:ENSG00000175206:ENSG00000065534:ENSG00000101306:ENSG00000140795:ENSG00000145949:ENSG00000196465:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000078295:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000121281:ENSG00000155897:ENSG00000162104:ENSG00000065135:ENSG00000087258:ENSG00000162989:ENSG00000162728:ENSG00000146648:ENSG00000124762
DEG.twoside	Breast	2359	22	0.00526970040060925	0.158091012018277	ENSG00000180914:ENSG00000168907:ENSG00000196218:ENSG00000142185:ENSG00000123700:ENSG00000184185:ENSG00000102001:ENSG00000007402:ENSG00000157445:ENSG00000075461:ENSG00000101096:ENSG00000100968:ENSG00000058404:ENSG00000164867:ENSG00000065534:ENSG00000078295:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000121281:ENSG00000087258:ENSG00000146648
DEG.twoside	Cervix_Uteri	2575	15	0.387835758189225	1	ENSG00000116711:ENSG00000243708:ENSG00000166484:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000100968:ENSG00000131791:ENSG00000152402:ENSG00000159899:ENSG00000065534:ENSG00000196465:ENSG00000138031:ENSG00000129467:ENSG00000174233
DEG.twoside	Colon	2366	16	0.181405367664129	1	ENSG00000116711:ENSG00000198838:ENSG00000004468:ENSG00000142185:ENSG00000184185:ENSG00000182621:ENSG00000153956:ENSG00000007402:ENSG00000075461:ENSG00000178372:ENSG00000100968:ENSG00000152402:ENSG00000065534:ENSG00000077157:ENSG00000121281:ENSG00000087258
DEG.twoside	Esophagus	2494	18	0.10428497875802	1	ENSG00000081189:ENSG00000196218:ENSG00000004468:ENSG00000142185:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000007402:ENSG00000075461:ENSG00000178363:ENSG00000178372:ENSG00000152402:ENSG00000065534:ENSG00000077157:ENSG00000078295:ENSG00000087258:ENSG00000141506:ENSG00000146648
DEG.twoside	Fallopian_Tube	457	6	0.0344890775523602	1	ENSG00000100968:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000174233
DEG.twoside	Heart	8783	39	0.950098715514407	1	ENSG00000102882:ENSG00000116711:ENSG00000243708:ENSG00000166484:ENSG00000081189:ENSG00000126767:ENSG00000168135:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000157445:ENSG00000096433:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000116741:ENSG00000111725:ENSG00000131791:ENSG00000058404:ENSG00000152402:ENSG00000175206:ENSG00000159899:ENSG00000065534:ENSG00000140795:ENSG00000196465:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000121281:ENSG00000162104:ENSG00000065135:ENSG00000141506:ENSG00000162989:ENSG00000120457:ENSG00000146648
DEG.twoside	Kidney	5926	29	0.732889858221725	1	ENSG00000102882:ENSG00000168907:ENSG00000166484:ENSG00000081189:ENSG00000126767:ENSG00000142185:ENSG00000184185:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000153956:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000111725:ENSG00000131791:ENSG00000152402:ENSG00000175206:ENSG00000159899:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000121281:ENSG00000162104:ENSG00000065135:ENSG00000141506:ENSG00000146648
DEG.twoside	Liver	8356	34	0.987000234731883	1	ENSG00000101405:ENSG00000102882:ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000081189:ENSG00000004468:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000096433:ENSG00000178372:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000116741:ENSG00000111725:ENSG00000058404:ENSG00000164867:ENSG00000175206:ENSG00000159899:ENSG00000065534:ENSG00000196465:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000121281:ENSG00000162104:ENSG00000065135:ENSG00000087258:ENSG00000141506
DEG.twoside	Lung	3891	22	0.403404835964007	1	ENSG00000116711:ENSG00000168907:ENSG00000196218:ENSG00000004468:ENSG00000137841:ENSG00000149782:ENSG00000153956:ENSG00000007402:ENSG00000075461:ENSG00000096433:ENSG00000178372:ENSG00000131196:ENSG00000111725:ENSG00000164867:ENSG00000152402:ENSG00000065534:ENSG00000164742:ENSG00000129467:ENSG00000121281:ENSG00000162104:ENSG00000105851:ENSG00000141506
DEG.twoside	Muscle	7033	50	0.00550016719239419	0.165005015771826	ENSG00000102882:ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000170345:ENSG00000081189:ENSG00000196218:ENSG00000198838:ENSG00000184185:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000081248:ENSG00000167535:ENSG00000153956:ENSG00000007402:ENSG00000157445:ENSG00000108878:ENSG00000130433:ENSG00000096433:ENSG00000178372:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000116741:ENSG00000159200:ENSG00000111725:ENSG00000131791:ENSG00000115592:ENSG00000058404:ENSG00000164867:ENSG00000175206:ENSG00000159899:ENSG00000065534:ENSG00000101306:ENSG00000140795:ENSG00000145949:ENSG00000196465:ENSG00000058272:ENSG00000125503:ENSG00000164742:ENSG00000078295:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000162104:ENSG00000065135:ENSG00000114353:ENSG00000146648
DEG.twoside	Nerve	4977	28	0.390807165836778	1	ENSG00000101405:ENSG00000243708:ENSG00000166484:ENSG00000184185:ENSG00000168135:ENSG00000137841:ENSG00000103319:ENSG00000007402:ENSG00000151062:ENSG00000096433:ENSG00000178372:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000159200:ENSG00000131791:ENSG00000164867:ENSG00000159899:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000078295:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000087258:ENSG00000146648
DEG.twoside	Ovary	5141	22	0.905517943248409	1	ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000126767:ENSG00000198838:ENSG00000142185:ENSG00000123700:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000167535:ENSG00000100968:ENSG00000159200:ENSG00000164867:ENSG00000065534:ENSG00000196465:ENSG00000164742:ENSG00000138031:ENSG00000174233:ENSG00000121281:ENSG00000087258:ENSG00000141506
DEG.twoside	Pancreas	9289	37	0.995441250988535	1	ENSG00000102882:ENSG00000116711:ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000126767:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000007402:ENSG00000096433:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000159200:ENSG00000111725:ENSG00000058404:ENSG00000164867:ENSG00000175206:ENSG00000159899:ENSG00000065534:ENSG00000101306:ENSG00000196465:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000162104:ENSG00000065135:ENSG00000114353:ENSG00000120457:ENSG00000146648
