"","Phylostratum","GeneID","Allen:4598","Allen:4596","Allen:4597","Allen:4573","Allen:4593","Allen:13005","Allen:4671","Allen:4675","Allen:4672","Allen:4679","Allen:4669","Allen:4667","Allen:4542","Allen:4644","Allen:4641","Allen:13008","Allen:10151","Allen:4648","Allen:4637"
"38",3,"ensg00000188089",2.11473141093567,2.33975586421704,2.32910935030356,2.09084340256247,1.8545946164816,2.44925699896557,2.13078568233952,2.1804910735448,2.45166821968144,2.20923405999911,2.55678614541759,2.0017473258922,2.01355663574934,1.79252649559163,2.40114647697264,2.29592154592715,2.3362361651423,2.99366774353364,2.32489430355972
"39",2,"ensg00000168907",2.71316194038907,2.46804578772621,2.19530634190787,2.00650606172358,2.24306861281475,2.27652899452627,2.880422920939,2.09375422302062,1.99609909255647,2.1653626290086,1.98166359799446,2.27022299086437,1.80548887648641,2.0896728066271,1.88961619515745,2.04215566554784,2.01499439506069,2.69619862424983,2.26285925803676
"40",1,"ensg00000169032",7.40968494703607,7.1065299614177,7.85124071069563,7.69656122731808,6.30704718541538,7.36148855889502,8.44244062606914,8.22691073511296,7.90762804735127,7.60346145724724,7.56307122583545,7.90284260413532,7.75088778224406,8.38151401199958,7.6144563935583,7.23444690492862,8.22730098122364,7.32597100297866,7.94326018042518
"41",3,"ensg00000105499",6.99759477151625,7.48309404462381,8.36305200099521,7.26576133546416,7.26373403138876,7.30203889027616,8.1592663365358,7.27366888434623,7.51569333711667,7.15784721803653,7.30788623110077,7.06832812103443,7.11773765086873,7.74564578317492,7.10911772444317,7.89329065026647,6.88683296433063,7.11619575933704,7.00651395650752
"42",2,"ensg00000159337",1.96889842759041,2.34902298703753,1.99231583362157,1.97595244693881,2.19440984257124,2.5126118269189,2.67987889578923,1.80162735106886,2.36526130744418,1.81124621149232,1.91768248781418,2.13482249653217,1.83570157213027,1.77978526471298,1.80177578459445,2.50046926714055,2.29022013658952,2.27680621524787,2.17018305045873
"43",2,"ensg00000116711",2.66354278499467,2.74428385561037,2.87913546364963,3.05956433467858,3.51775370485575,2.59449146671712,2.57784891012443,2.63113748520122,3.11512964382257,2.38274375873629,2.33967874718215,2.41027336828902,2.65144496286288,2.73470131429139,2.46874015463484,2.67063041074349,2.9381566506435,2.72411753666892,2.3567431531477
"44",1,"ensg00000166501",6.77855436819245,7.35304920984741,6.95028709049301,5.9438104618257,5.0270457605759,6.64905458964991,7.19575881547899,5.51302883342703,7.02969015933188,6.54599571750061,6.69049153270866,6.29252264356057,7.08136971397793,5.69587974323781,6.74294562354219,7.17868829710279,6.89667496096687,6.23988460651016,7.00161970357351
"45",1,"ensg00000167658",6.49971715140395,7.33874764572904,7.75245942789616,7.03049484109745,7.3353518387731,7.10000897080177,9.0358800374368,6.95374547047236,7.6908934720282,7.31621376803477,7.53470457087509,6.95501551255308,7.50342208698167,7.34332674530603,6.93282112330714,7.57693425818612,6.78624393850802,6.44132818903108,6.97402389866208
"46",1,"ensg00000154229",7.70238314285548,7.98345714745065,7.66747619004976,7.56039213743323,8.03556834719165,7.75520738264053,7.65537694443985,6.74072491948113,7.52789725249614,7.8359611509984,7.45357506045414,7.3200481413746,7.78288183456111,7.36269191092024,7.94401436029043,8.35233748576472,8.706889317384,7.41205402306888,7.83944236460301
"47",4,"ensg00000165995",6.72991548945791,6.81363250276448,6.78997867927065,6.83381214801287,6.04527289690794,6.69673337624589,7.02914476758906,6.42268501378572,6.82777426101639,6.8895419509332,6.8868200371819,6.58135873542119,7.02633741499873,7.26485981928246,7.001841779372,6.83162098319706,6.30365885464489,6.45557020130434,6.92077260391253
